OCC10,SIBS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,MAJOR1,MAJOR2,DIPGED,SECTOR,BARATE,SEX,RACE,RES16,REG16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,POLVIEWS,INCOME
Marketing and sales managers,1.0,34.0,16.0,16.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,,SLIGHTLY LIBERAL,$35000 TO 39999
Management analysts,1.0,34.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,OTHER,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,NEITHER IN U.S,4.0,LIBERAL,$75000 TO $89999
Human resources managers,4.0,27.0,18.0,14.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,"COUNTRY,NONFARM",W. SOU. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$90000 TO $109999
First-line supervisors of retail sales workers,1.0,24.0,15.0,16.0,15.0,JUNIOR COLLEGE,BACHELOR,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$20000 TO 22499
Personal financial advisors,2.0,27.0,16.0,14.0,14.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,$75000 TO $89999
Librarians,1.0,45.0,16.0,16.0,16.0,GRADUATE,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$60000 TO 74999
Advertising and promotions managers,3.0,30.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,OTHER,50000 TO 250000,PACIFIC,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$75000 TO $89999
Dispatchers,3.0,24.0,16.0,0.0,,BACHELOR,LT HIGH SCHOOL,,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,FATHER,,BELOW AVERAGE,YES,NEITHER IN U.S,4.0,MODERATE,$6 000 TO 6 999
"Architects, except naval",2.0,25.0,16.0,19.0,17.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$50000 TO 59999
Tax preparers,1.0,29.0,16.0,16.0,14.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$75000 TO $89999
"Software developers, applications and systems software",4.0,41.0,16.0,14.0,14.0,BACHELOR,JUNIOR COLLEGE,JUNIOR COLLEGE,,,,,,FEMALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$30000 TO 34999
Health practitioner support technologists and technicians,1.0,29.0,20.0,,14.0,BACHELOR,,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,E. NOR. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$12500 TO 14999
Accountants and auditors,1.0,33.0,16.0,12.0,18.0,BACHELOR,HIGH SCHOOL,GRADUATE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$75000 TO $89999
Postsecondary teachers,2.0,37.0,19.0,16.0,10.0,GRADUATE,BACHELOR,LT HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,NEITHER IN U.S,4.0,LIBERAL,$75000 TO $89999
Network and computer systems administrators,1.0,40.0,14.0,12.0,8.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,1.0,EXTREMELY LIBERAL,$75000 TO $89999
"Engineers, all other",3.0,42.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$150000 OR OVER
Secondary school teachers,2.0,39.0,16.0,16.0,15.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,$6 000 TO 6 999
"Production workers, all other",0.0,33.0,13.0,,16.0,JUNIOR COLLEGE,,BACHELOR,,,,,,MALE,OTHER,CITY GT 250000,PACIFIC,MOTHER,YES,FAR ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$40000 TO 49999
Computer and information systems managers,3.0,43.0,16.0,,,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$150000 OR OVER
Management analysts,1.0,41.0,17.0,19.0,6.0,BACHELOR,GRADUATE,LT HIGH SCHOOL,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,FAR ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$150000 OR OVER
Chief executives,2.0,36.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,$150000 OR OVER
Marketing and sales managers,1.0,39.0,15.0,12.0,10.0,BACHELOR,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$60000 TO 74999
Diagnostic related technologists and technicians,3.0,30.0,16.0,16.0,14.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,TOWN LT 50000,MOUNTAIN,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$30000 TO 34999
"Miscellaneous life, physical, and social science technicians",3.0,33.0,20.0,16.0,,GRADUATE,BACHELOR,,,,,,,FEMALE,WHITE,FARM,FOREIGN,OTHER,,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,EXTREMELY LIBERAL,$35000 TO 39999
Other teachers and instructors,1.0,33.0,14.0,,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$25000 TO 29999
Industrial and refractory machinery mechanics,3.0,42.0,14.0,,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,UNDER $1 000
Real estate brokers and sales agents,0.0,32.0,16.0,8.0,14.0,BACHELOR,LT HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,MOTHER ONLY,2.0,LIBERAL,$50000 TO 59999
"Bailiffs, correctional officers, and jailers",4.0,32.0,14.0,12.0,10.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,FAR BELOW AVERAGE,YES,BOTH IN U.S,1.0,LIBERAL,$35000 TO 39999
Social workers,7.0,43.0,18.0,9.0,10.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$50000 TO 59999
"Managers, all other",4.0,45.0,14.0,16.0,16.0,JUNIOR COLLEGE,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,4.0,MODERATE,$10000 TO 12499
"Shipping, receiving, and traffic clerks",2.0,45.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,,,,,,,MALE,BLACK,50000 TO 250000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,$22500 TO 24999
Counselors,3.0,31.0,16.0,,16.0,JUNIOR COLLEGE,,JUNIOR COLLEGE,,,,,,FEMALE,OTHER,50000 TO 250000,NEW ENGLAND,MOTHER,YES,FAR BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$22500 TO 24999
Credit counselors and loan officers,2.0,43.0,16.0,18.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,MALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$40000 TO 49999
Construction managers,4.0,33.0,14.0,12.0,13.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,MOUNTAIN,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$17500 TO 19999
Elementary and middle school teachers,4.0,44.0,16.0,12.0,16.0,BACHELOR,HIGH SCHOOL,GRADUATE,,,,,,FEMALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$20000 TO 22499
Customer service representatives,2.0,24.0,14.0,13.0,13.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$8 000 TO 9 999
Retail salespersons,1.0,24.0,16.0,19.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,MALE,WHITE,CITY GT 250000,SOUTH ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,NO,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$1 000 TO 2 999
"Managers, all other",2.0,35.0,16.0,12.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,WHITE,CITY GT 250000,SOUTH ATLANTIC,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$110000 TO $129999
Retail salespersons,2.0,29.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,"COUNTRY,NONFARM",PACIFIC,MOTHER & STPFATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,2.0,LIBERAL,$40000 TO 49999
"Software developers, applications and systems software",2.0,39.0,17.0,16.0,17.0,GRADUATE,BACHELOR,GRADUATE,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,AVERAGE,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$150000 OR OVER
"Sales representatives,  wholesale and manufacturing",2.0,31.0,16.0,20.0,14.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$75000 TO $89999
Environmental engineers,0.0,44.0,18.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,1.0,SLIGHTLY LIBERAL,$110000 TO $129999
Drafters,5.0,31.0,17.0,12.0,6.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,NO,AVERAGE,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$40000 TO 49999
Secondary school teachers,1.0,31.0,17.0,14.0,14.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$50000 TO 59999
Aerospace engineers,2.0,29.0,18.0,18.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$60000 TO 74999
"Sales representatives,  wholesale and manufacturing",1.0,40.0,15.0,17.0,12.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$30000 TO 34999
"First-line supervisors of mechanics, installers, and repairers",3.0,28.0,16.0,,12.0,BACHELOR,,HIGH SCHOOL,,,,,,FEMALE,BLACK,"COUNTRY,NONFARM",W. SOU. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$25000 TO 29999
Accountants and auditors,1.0,39.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,E. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$150000 OR OVER
"Food preparation and serving related workers, all other",0.0,29.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,FEMALE RELATIVE,NO,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,$35000 TO 39999
Postsecondary teachers,1.0,42.0,18.0,12.0,10.0,GRADUATE,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,FOREIGN,MOTHER & FATHER,NO,FAR ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$25000 TO 29999
Real estate brokers and sales agents,1.0,38.0,18.0,16.0,14.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,NEW ENGLAND,MOTHER & FATHER,NO,ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$90000 TO $109999
Education administrators,2.0,45.0,18.0,20.0,20.0,GRADUATE,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,4.0,LIBERAL,$50000 TO 59999
Physicians and surgeons,3.0,37.0,20.0,20.0,16.0,GRADUATE,GRADUATE,BACHELOR,,,,,,FEMALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,AVERAGE,NO,BOTH IN U.S,4.0,LIBERAL,$150000 OR OVER
Medical assistants,1.0,35.0,16.0,14.0,12.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,FEMALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,UNDER $1 000
Photographic process workers and processing machine operators,0.0,22.0,16.0,16.0,,BACHELOR,BACHELOR,,,,,,,FEMALE,BLACK,BIG-CITY SUBURB,SOUTH ATLANTIC,FATHER,,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$4 000 TO 4 999
Social workers,7.0,27.0,16.0,6.0,0.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$25000 TO 29999
First-line supervisors of production and operating workers,10.0,32.0,14.0,10.0,,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,OTHER,TOWN LT 50000,FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,ALL IN U.S,MODERATE,$15000 TO 17499
Cashiers,7.0,37.0,17.0,3.0,8.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,FARM,FOREIGN,MOTHER & FATHER,NO,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$22500 TO 24999
"Office clerks, general",8.0,28.0,14.0,14.0,16.0,JUNIOR COLLEGE,JUNIOR COLLEGE,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER & STPFATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$30000 TO 34999
"First-line supervisors of mechanics, installers, and repairers",3.0,44.0,16.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,NO,FAR ABOVE AVERAGE,YES,FATHER ONLY,2.0,MODERATE,$150000 OR OVER
Customer service representatives,3.0,33.0,15.0,12.0,14.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,BLACK,50000 TO 250000,FOREIGN,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$22500 TO 24999
Customer service representatives,1.0,36.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,,SLGHTLY CONSERVATIVE,$35000 TO 39999
Artists and related workers,2.0,25.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$1 000 TO 2 999
Secretaries and administrative assistants,5.0,35.0,18.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",W. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$50000 TO 59999
Secondary school teachers,2.0,35.0,17.0,14.0,16.0,BACHELOR,JUNIOR COLLEGE,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$30000 TO 34999
Drafters,3.0,23.0,14.0,12.0,,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,,MALE,WHITE,FARM,W. NOR. CENTRAL,FATHER,,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$40000 TO 49999
Automotive service technicians and mechanics,6.0,34.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & STPFATHER,YES,AVERAGE,NO,BOTH IN U.S,2.0,MODERATE,$22500 TO 24999
Miscellaneous media and communication  workers,1.0,41.0,17.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,EXTREMELY LIBERAL,$20000 TO 22499
"Managers, all other",2.0,41.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,W. NOR. CENTRAL,MOTHER & STPFATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,2.0,LIBERAL,$50000 TO 59999
Receptionists and information clerks,1.0,36.0,14.0,14.0,12.0,JUNIOR COLLEGE,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$8 000 TO 9 999
First-line supervisors of construction trades and extraction workers,6.0,22.0,15.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,NEW ENGLAND,MOTHER & FATHER,NO,BELOW AVERAGE,YES,BOTH IN U.S,2.0,MODERATE,$75000 TO $89999
Secretaries and administrative assistants,3.0,23.0,14.0,12.0,11.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,2.0,MODERATE,$10000 TO 12499
Computer programmers,2.0,34.0,16.0,8.0,12.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,NO,AVERAGE,YES,FATHER ONLY,2.0,SLGHTLY CONSERVATIVE,$22500 TO 24999
Mathematicians,5.0,41.0,20.0,20.0,14.0,GRADUATE,GRADUATE,JUNIOR COLLEGE,,,,,,MALE,WHITE,FARM,MOUNTAIN,MOTHER & FATHER,NO,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$90000 TO $109999
"Sales representatives,  wholesale and manufacturing",2.0,31.0,18.0,14.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,1.0,SLIGHTLY LIBERAL,$90000 TO $109999
Physicians and surgeons,2.0,28.0,20.0,20.0,,GRADUATE,GRADUATE,,,,,,,FEMALE,OTHER,TOWN LT 50000,W. SOU. CENTRAL,FATHER,,ABOVE AVERAGE,YES,MOTHER ONLY,2.0,SLIGHTLY LIBERAL,$40000 TO 49999
Sociologists,2.0,32.0,18.0,16.0,18.0,GRADUATE,BACHELOR,GRADUATE,,,,,,FEMALE,BLACK,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$3 000 TO 3 999
"First-line supervisors of mechanics, installers, and repairers",3.0,24.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$15000 TO 17499
Postsecondary teachers,1.0,34.0,19.0,,14.0,GRADUATE,,HIGH SCHOOL,,,,,,MALE,BLACK,CITY GT 250000,W. NOR. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$40000 TO 49999
Computer systems analysts,1.0,45.0,19.0,12.0,14.0,GRADUATE,LT HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$110000 TO $129999
First-line supervisors of non-retail sales workers,1.0,43.0,18.0,15.0,15.0,GRADUATE,BACHELOR,BACHELOR,,,,,,MALE,OTHER,FARM,FOREIGN,MOTHER & FATHER,NO,AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$150000 OR OVER
Drafters,2.0,23.0,16.0,18.0,18.0,HIGH SCHOOL,GRADUATE,GRADUATE,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,$40000 TO 49999
Accountants and auditors,1.0,43.0,19.0,20.0,16.0,GRADUATE,GRADUATE,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,AVERAGE,YES,MOTHER ONLY,2.0,LIBERAL,$40000 TO 49999
"Athletes, coaches, umpires, and related workers",1.0,45.0,16.0,13.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$90000 TO $109999
Cashiers,2.0,40.0,20.0,20.0,18.0,GRADUATE,GRADUATE,BACHELOR,,,,,,MALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,$25000 TO 29999
Postsecondary teachers,0.0,44.0,20.0,12.0,12.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,4.0,LIBERAL,$90000 TO $109999
Artists and related workers,2.0,38.0,16.0,,13.0,BACHELOR,,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER,YES,BELOW AVERAGE,NO,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$60000 TO 74999
"Software developers, applications and systems software",1.0,25.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,FOREIGN,MOTHER & FATHER,YES,ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$50000 TO 59999
Construction managers,1.0,27.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,50000 TO 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$50000 TO 59999
